Work Item Type,Title 1,Title 2,Title 3,Title 4,State,Area Path,Effort,Remaining Work,Priority,Iteration Path
"Product Backlog Item","As a developer I want fast builds so that PRs complete and merge back to master",,,,"New","DevOpsSummit2020\Accounts Team","3",,"1","DevopsSummit2020"
"Task",,"Implement NPM caching for build task",,,"To Do","DevOpsSummit2020\Accounts Team",,"3","2","DevopsSummit2020"
"Epic","Launch Content",,,,"New","DevOpsSummit2020\Content Team","5",,"2","DevopsSummit2020"
"Feature",,"Home Page",,,"New","DevOpsSummit2020\Content Team","8",,"2","DevopsSummit2020"
"Product Backlog Item",,,"As a site visitor, I want to see a list of the most popular items on the site so I am most likely to read the most important or best content.",,"New","DevOpsSummit2020\Content Team","1",,"2","DevopsSummit2020"
"Task",,,,"Create a view on site statistics that that returns most popular for last month","To Do","DevOpsSummit2020\Content Team",,"5","2","DevopsSummit2020"
"Task",,,,"Implement word cloud to show popular content","To Do","DevOpsSummit2020\Content Team",,"8","2","DevopsSummit2020"
"Product Backlog Item",,,"As a site editor, I want to have a prominent area on the home page where I can put special announcements, not necessarily news or articles, so that I can give them additional exposure.",,"New","DevOpsSummit2020\Content Team","5",,"2","DevopsSummit2020"
"Task",,,,"Modify site template to add announcement area","To Do","DevOpsSummit2020\Content Team",,"5","2","DevopsSummit2020"
"Task",,,,"Add CMS link to announcement WYSIWYG","To Do","DevOpsSummit2020\Content Team",,"8","2","DevopsSummit2020"
"Product Backlog Item",,,"As a site editor, I'd like to have some flexibility as to where things appear so as to accommodate different types of content.",,"New","DevOpsSummit2020\Content Team","1",,"2","DevopsSummit2020"
"Task",,,,"Add template selector to content creator","To Do","DevOpsSummit2020\Content Team",,"5","2","DevopsSummit2020"
"Task",,,,"Create content templates","To Do","DevOpsSummit2020\Content Team",,"8","2","DevopsSummit2020"
"Product Backlog Item",,,"As a trainer, the upcoming courses are what I want visitors to notice so that they register and there’s a benefit to my membership.",,"New","DevOpsSummit2020\Content Team","8",,"2","DevopsSummit2020"
"Task",,,,"Add controller to retrieve courses","To Do","DevOpsSummit2020\Content Team",,"6","2","DevopsSummit2020"
"Task",,,,"Add upcoming course section to the homepage","To Do","DevOpsSummit2020\Content Team",,"8","2","DevopsSummit2020"
"Task",,,,"Add view to the database to retrieve course content","To Do","DevOpsSummit2020\Content Team",,"4","2","DevopsSummit2020"
"Product Backlog Item",,,"As a site visitor, I want to see new content when I come to the site, so I come back more often.",,"New","DevOpsSummit2020\Content Team","1",,"2","DevopsSummit2020"
"Task",,,,"Add new content section to homepage template","To Do","DevOpsSummit2020\Content Team",,"6","2","DevopsSummit2020"
"Task",,,,"Remove section when no content newer than 2 weeks","To Do","DevOpsSummit2020\Content Team",,"4","2","DevopsSummit2020"
"Product Backlog Item",,,"As a site visitor, I want to have articles that interest me and are easy to get to, so I come to the site for my agile news and learning.",,"New","DevOpsSummit2020\Content Team","8",,"2","DevopsSummit2020"
"Task",,,,"Store usage statistics as cookie","To Do","DevOpsSummit2020\Content Team",,"5","2","DevopsSummit2020"
"Task",,,,"Sort new content section according to past navigate preferences","To Do","DevOpsSummit2020\Content Team",,"8","2","DevopsSummit2020"
"Product Backlog Item",,,"As a site visitor, I need to know as soon as I visit what on earth Scrum is, and why it needs an alliance so that I don’t bounce immediately off the page.",,"New","DevOpsSummit2020\Content Team","13",,"2","DevopsSummit2020"
"Task",,,,"Static section on Homepage with Scrum overview","To Do","DevOpsSummit2020\Content Team",,"6","2","DevopsSummit2020"
"Product Backlog Item",,,"As a site visitor, I want to know as I glance around the home page what on earth a CSM is and why I'd want to be one so that I read more.",,"New","DevOpsSummit2020\Content Team","3",,"2","DevopsSummit2020"
"Task",,,,"Static section on Homepage with CSM overview","To Do","DevOpsSummit2020\Content Team",,"6","2","DevopsSummit2020"
"Product Backlog Item",,,"As a site visitor, I want to be able to get back to the home page quickly and easily, so I don’t get lost navigating and so the site works like every other site in the world.",,"New","DevOpsSummit2020\Content Team","5",,"2","DevopsSummit2020"
"Task",,,,"Implement breadcrum that hooks into navigation system","To Do","DevOpsSummit2020\Content Team",,"4","2","DevopsSummit2020"
"Feature",,"Resource",,,"New","DevOpsSummit2020\Content Team","3",,"2","DevopsSummit2020"
"Product Backlog Item",,,"As a site member, I can download the latest training material and methodology PDFs so I have them.",,"New","DevOpsSummit2020\Content Team","3",,"2","DevopsSummit2020"
"Product Backlog Item",,,"As a visitor, I can download presentations, PDFs, etc.",,"New","DevOpsSummit2020\Content Team","13",,"2","DevopsSummit2020"
"Feature",,"FAQs",,,"New","DevOpsSummit2020\Content Team","8",,"2","DevopsSummit2020"
"Product Backlog Item",,,"As a site visitor, I can read FAQs.",,"New","DevOpsSummit2020\Content Team","21",,"2","DevopsSummit2020"
"Product Backlog Item",,,"As a site editor, I can maintain an FAQ section.",,"New","DevOpsSummit2020\Content Team","1",,"2","DevopsSummit2020"
"Product Backlog Item",,,"As a site member, I can do a full-text search of the FAQs.",,"New","DevOpsSummit2020\Content Team","13",,"2","DevopsSummit2020"
"Feature",,"What Is Scrum?",,,"New","DevOpsSummit2020\Content Team","3",,"2","DevopsSummit2020"
"Product Backlog Item",,,"As a site editor, I can create the content of the What Is Scrum section so that it’s there for visitors.",,"New","DevOpsSummit2020\Content Team","5",,"2","DevopsSummit2020"
"Product Backlog Item",,,"As a site visitor, I want there to be a section of the website that teaches me the basics of what Scrum is, so I can learn that quickly.",,"New","DevOpsSummit2020\Content Team","13",,"2","DevopsSummit2020"
"Epic","Membership",,,,"New","DevOpsSummit2020\Accounts Team","1",,"2","DevopsSummit2020"
"Feature",,"Profile Management",,,"New","DevOpsSummit2020\Accounts Team","5",,"2","DevopsSummit2020"
"Product Backlog Item",,,"As a site administrator, I can edit any site member profile so that I can correct problems for members.",,"New","DevOpsSummit2020\Accounts Team","21",,"2","DevopsSummit2020"
"Product Backlog Item",,,"As a site member, I can search for profiles based on a few fields (class attended, location, name) so I can find others I might want to connect with.",,"New","DevOpsSummit2020\Accounts Team","3",,"2","DevopsSummit2020"
"Product Backlog Item",,,"As a site member, I can mark my profile as private in which case only my name will appear so that no one can learn things about me I don’t want shared.",,"New","DevOpsSummit2020\Accounts Team","13",,"2","DevopsSummit2020"
"Product Backlog Item",,,"As a site member, I can mark my email address as private even if the rest of my profile is not so that no one can contact me.",,"New","DevOpsSummit2020\Accounts Team","3",,"2","DevopsSummit2020"
"Product Backlog Item",,,"As a site member, I can send an email to any member via a form so that we can connect.",,"New","DevOpsSummit2020\Accounts Team","8",,"2","DevopsSummit2020"
"Product Backlog Item",,,"As a site administrator, I can read practicing and training applications and approve or reject them so that only applicants who qualify can become CSPs or CSTs.",,"New","DevOpsSummit2020\Accounts Team","13",,"2","DevopsSummit2020"
"Product Backlog Item",,,"As a site member, I want to describe myself on my own page in a semi-structured way so that others can learn about me.",,"New","DevOpsSummit2020\Accounts Team","1",,"2","DevopsSummit2020"
"Product Backlog Item",,,"As a Practitioner or Trainer, when I write an article for the site I want a small graphic shown with the article showing my CSP or CST status so that others know my certifications when reading.",,"New","DevOpsSummit2020\Accounts Team","1",,"2","DevopsSummit2020"
"Product Backlog Item",,,"As a trainer, I want my profile to list my upcoming classes and include a link to a detailed page about each so that prospective attendees can find my courses.",,"New","DevOpsSummit2020\Accounts Team","3",,"2","DevopsSummit2020"
"Product Backlog Item",,,"As a site member, I can view the profiles of other members so that I can find others I might want to connect with.",,"New","DevOpsSummit2020\Accounts Team","13",,"2","DevopsSummit2020"
"Product Backlog Item",,,"As a site member, I can fill out an application to become a Certified Scrum Practitioner so that I can earn that designation.",,"New","DevOpsSummit2020\Accounts Team","8",,"2","DevopsSummit2020"
"Product Backlog Item",,,"As a Practitioner, I want my profile page to include additional details about me (i.",,"New","DevOpsSummit2020\Accounts Team","1",,"2","DevopsSummit2020"
